countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
FJ,Fiji,109779,Ba,1196371,Navala Lodges,All,Kings Road BaFidschi ,,HotelDescription#Fiji Eco Tours takes on a 2hrs 30mins drive through Lautoka City Ba Town and the beautiful valleys and picturesque hillsides and great views to Navala. Once at the top of the mountains range you will have a great panoramic view of the Yasawa group of islands. Set amidst the stunning mountains on the Ba River Navala is a 200 year old picturesque village built in the old ways preserving the traditional native 'bure' or thatched hut. Navala is home to roughly 1000 people.Village CeremonyUpon arrival in the village you will be met by the Chief and your guides.Kava CeremonyA traditional welcome villageHistorical SitesYou will then be taken on a guided tour of the village the village school mingle with the locals and hear old legends and stories of this beautiful ancient village. This will be the perfect time to take pictures with the locals and the beautiful preserved homes they live in. You can then take a dip in the cool waters of the nearby river. You will also witness various activities such as coconut tree climbing and also sample the cool coconut juice from freshly picked coconut. Our comfortable and convenient Navala Village Stay offers comfortable doubles & Singles. The Village Stay are designed to cater to all needs to explore the Real Navala Village Experience STAY 3 NIGHTS & PAY 2 NIGHTSAmenities: Inclusive of all mealsActivities: Inclusive of all activitiesTransfers: Free Airport Pick Up / Drop Off,,NO Connecting rooms American Express Diners Club MasterCard Visa Maestro NO Disability-friendly bathroom NO Wheelchair-accessible NO Smoking rooms NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Car park NO Garage Medical service Horse riding,-17.65903|177.8126,,,
FJ,Fiji,109779,Ba,1470077,Vatia Beach Eco Resort,TwoStar,Vatia Road Tavua Sun Coast Off Kings RdTavuaPO Box 1929 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ba Jame Mosque - 18.2 km / 11.3 mi <br /> Rarawai Sugar Mill - 19.5 km / 12.1 mi <br /> Govind Park - 20 km / 12.4 mi <br /> </p><p>The preferred airport for Vatia Beach Eco Lodge is Nadi Intl. Airport (NAN) - 73.9 km / 45.9 mi </p>,"<p>HeadLine : In Tavua</p><p>Location : With a stay at Vatia Beach Eco Lodge in Tavua, you ll be 11.3 mi (18.2 km) from Ba Jame Mosque and 12.1 mi (19.5 km) from Rarawai Sugar Mill.  This beach hostel is 12.4 mi (20 km) from Govind Park.</p><p>Rooms : Make yourself at home in one of the 8 guestrooms. Wireless Internet access (surcharge) is available to keep you connected. Housekeeping is provided daily, and rollaway/extra beds (surcharge) can be requested.</p><p>Dining : At Vatia Beach Eco Lodge, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 8 AM - 10 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Beach volleyball on site Beach yoga on site Reception hall WiFi (surcharge) Scuba diving nearby Number of bars/lounges - 1 Arcade/game room Designated smoking areas Horse riding/rental on site Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Fishing on site Free continental breakfast Airport transportation (surcharge) On private beach Free breakfast Front desk (limited hours) Library Playground on site Daily Barbecue grill(s) Snorkeling nearby Ecotours nearby Hiking/biking trails nearby Laundry facilities Free self parking Free beach cabanas Terrace Bicycle rentals on site,-17.420085|177.75242,+6796254737,,http://www.vatiabeach.com/ecolodge
FJ,Fiji,109779,Ba,1743319,Outback Hotel Fiji,TwoStar,2 Riverside Road Tonge ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ba Jame Mosque - 16.1 km / 10 mi <br /> Rarawai Sugar Mill - 16.2 km / 10.1 mi <br /> Govind Park - 18.6 km / 11.5 mi <br /> </p><p>The nearest major airport is Nadi Intl. Airport (NAN) - 73.8 km / 45.9 mi</p>,"<p>HeadLine : In the historical district</p><p>Location : With a stay at Outback Hotel Fiji in Ba, you ll be in the historical district, and 10 mi (16.1 km) from Ba Jame Mosque and 10.1 mi (16.2 km) from Rarawai Sugar Mill.  This hostel is 11.5 mi (18.6 km) from Govind Park.</p><p>Rooms : Make yourself at home in one of the 8 guestrooms. Bathrooms with showers are provided. Conveniences include a turndown service and ceiling fans, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hostel s restaurant, Chilo Restaurant, or stay in and take advantage of the 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 5:30 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",,Barbecue grill(s) Picnic area Lazy river Daily Number of bars/lounges - 1 Access to nearby outdoor pool 24-hour front desk Free breakfast Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Safe-deposit box at front desk Terrace Luggage storage Free continental breakfast Concierge services Shared microwave Designated smoking areas Shared refrigerator Laundry facilities Airport transportation (surcharge) Garden,-17.626308|177.749847,679-735 4668,00679,
FJ,Fiji,109779,Ba,5482533,Mountain Oasis Farm Stay,TwoStar,Lot 6Namau Navala Rd  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ba Jame Mosque - 14.8 km / 9.2 mi <br /> Rarawai Sugar Mill - 14.8 km / 9.2 mi <br /> Govind Park - 17.2 km / 10.7 mi <br /> Churchill Park - 50.8 km / 31.6 mi <br /> </p><p>The nearest major airport is Nadi Intl. Airport (NAN) - 72.3 km / 45 mi</p>,"<p>HeadLine : In the mountains</p><p>Location : With a stay at Mountain Oasis Farm Stay in Ba, you ll be near the airport and within the region of Sabeto Hot Springs and Mud Pool and Garden of the Sleeping Giant.  This guesthouse is within the region of Navala Village and Wailoaloa Beach.</p><p>Rooms : Make yourself at home in one of the 5 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Conveniences include sofa beds and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Enjoy local cuisine at Mountain View, a restaurant where you can take in the garden view, or stay in and take advantage of the 24-hour room service. Mingle with other guests at the complimentary reception, held daily. Wrap up your day with a drink at the bar/lounge. A complimentary local cuisine breakfast is served daily from 7:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",679-000-000000,Cave exploring/spelunking on site Firewood (free) Babysitting or childcare (surcharge) Express check-in Outdoor furniture Free reception Outdoor entertainment area Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Hiking/biking trails on site Garden Picnic area Wheelchair accessible parking Tours/ticket assistance Rock climbing on site Free WiFi (limited) device count - 1 Private picnics Couples/private dining Barbecue grill(s) Safe-deposit box at front desk Laundry facilities Ecotours on site Free self parking Terrace Luggage storage Free breakfast Express check-out Grocery/convenience store Firepit Multilingual staff Free breakfast (local cuisine) 24-hour front desk Mountain climbing nearby Daily,-17.60641|177.7671,679-679-8373889,,
FJ,Fiji,110900,Beachcomber Island,1070643,Beachcomber Island Resort,ThreeStar,Vuda Road Mamanuca Islands Lautoka P.O. Box 10314Beachcomber Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tokoriki Island Beach - 1.5 km / 1 mi <br /> Denarau Beach - 29.9 km / 18.6 mi <br /> North Beach - 45.5 km / 28.3 mi <br /> </p><p>The nearest airports are:<br />Nadi Intl. Airport (NAN) - 16.6 km / 10.3 mi<br /> Malololailai (PTF) - 45.5 km / 28.3 mi<br /> Mana (MNF) - 45.5 km / 28.3 mi<br /> </p><p>The preferred airport for Beachcomber Island Resort is Nadi Intl. Airport (NAN). </p>,"<p>HeadLine : In Beachcomber Island</p><p>Location : When you stay at Beachcomber Island Resort in Beachcomber Island, you ll be by the sea and 6 minutes by car from Tokoriki Island Beach.  This beach hotel is 18.6 mi (29.9 km) from Denarau Beach and 28.3 mi (45.5 km) from North Beach.</p><p>Rooms : Make yourself at home in one of the 74 air-conditioned guestrooms. Conveniences include safes and ceiling fans, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite at the hotel s beachfront restaurant, which features an ocean view. Wrap up your day with a drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the ferry terminal and airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 2:00 AM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 8:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.</p>",6-79-6664496,Beach volleyball on site Babysitting or childcare (surcharge) Pool umbrellas Nightclub Number of meeting rooms - 1 Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Picnic area In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Volleyball on site Beach towels Water skiing on site Supervised childcare/activities (surcharge) Fishing on site Windsurfing on site Boat tours on site Ferry terminal shuttle (surcharge) Miniature golf on site Airport transportation (surcharge) On private beach Accessible airport shuttle Wheelchair accessible  no Luggage storage Billiards or pool table Front desk (limited hours) Personal motorized watercraft on site Library Spa services on site Safe-deposit box at front desk Rowing or canoeing on site Snack bar/deli Laundry facilities Surfing/bodyboarding nearby Free self parking Snorkeling on site Kayaking on site Computer station Beach sun loungers Terrace Pool sun loungers,-17.653952|177.255361,6-79-6661500,679,http://www.beachcomberfiji.com
FJ,Fiji,110950,Beqa Island,1157203,Kulu Bay Resort,ThreeStar,Beqa Island  ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Beqa Lagoon - 3.8 km / 2.4 mi &lt;br /&gt;Paradise Beach - 6.6 km / 4.1 mi &lt;br /&gt;Arts Village - 18.6 km / 11.6 mi &lt;br /&gt;Pearl South Pacific Championship Golf Course - 19.5 km / 12.1 mi &lt;br /&gt;Waidroka Bay Dock - 26.2 km / 16.3 mi &lt;br /&gt;Vunanui Bay - 28.6 km / 17.8 mi &lt;br /&gt;Zip Fiji - 35.2 km / 21.9 mi &lt;br /&gt;Namatakula Beach - 39.1 km / 24.3 mi &lt;br /&gt;Fiji Museum - 45.5 km / 28.3 mi &lt;br /&gt;Thurston Gardens - 45.8 km / 28.5 mi &lt;br /&gt;University of the South Pacific - 47.3 km / 29.4 mi &lt;br /&gt;Fiji National Stadium - 47.3 km / 29.4 mi &lt;br /&gt;Mariamma Temple - 48 km / 29.9 mi &lt;br /&gt;Kula Eco Park - 49.9 km / 31 mi &lt;br /&gt;Fiji Golf Club - 50.2 km / 31.2 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Kulu Bay Resort is Nadi (NAN-Nadi Intl.) - 100.6 km / 62.5 mi. &lt;/p&gt;,"Property Location When you stay at Kulu Bay Resort in Beqa Island, you''ll be close to Beqa Lagoon. This beach resort is within the region of Paradise Beach and Arts Village.Rooms Make yourself at home in one of the 7 guestrooms. Rooms have private patios. Bathrooms with separate bathtubs and showers are provided.Rec, Spa, Premium Amenities Enjoy recreation amenities such as a private beach or take in the view from a garden. Additional features include babysitting/childcare, wedding services, and tour/ticket assistance.Dining Enjoy a satisfying meal at a restaurant serving guests of Kulu Bay Resort.Business, Other Amenities Featured amenities include dry cleaning/laundry services, multilingual staff, and luggage storage. A roundtrip airport shuttle is provided for a surcharge available on request.",,Babysitting service Pay Shuttle Service Private Beach Tour desk Restaurant Dry cleaning / laundry service Picnic area Wedding services Luggage storage Multilingual staff Garden,-18.41666|178.09872,,,http://www.kulubay.com
FJ,Fiji,110950,Beqa Island,1172906,Beqa Lagoon Resort,FourStar,"Beqa Lagoon, Fiji Beqa LagoonPacific HarbourBeqa Island ",Distances are calculated in a straight line from the property s location to the point of interest or attraction  and may not reflect actual travel distance. <br /><br /> Distances are displayed to the nearest 0.1 mile and kilometer. <p>Beqa Lagoon - 0.4 km / 0.3 mi <br />Paradise Beach - 3.5 km / 2.2 mi <br />Yanutha Beach - 11.1 km / 6.9 mi <br />The Pearl Championship Golf & Country Club - 16.4 km / 10.2 mi <br />Aqua-Trek Shark Encounter - 17.1 km / 10.6 mi <br />Waidroka Bay Dock - 24.5 km / 15.2 mi <br />Vunanui Bay - 26.9 km / 16.7 mi <br />Zip Fiji - 32.2 km / 20 mi <br />Rivers Fiji - 33.4 km / 20.8 mi <br />Waidroka Reef - 36.2 km / 22.5 mi <br />Namatakula Beach - 37.6 km / 23.4 mi <br />Fiji Museum - 43.3 km / 26.9 mi <br />Government Building - 43.4 km / 26.9 mi <br />Albert Park - 43.4 km / 27 mi <br />Thurston Gardens - 43.6 km / 27.1 mi <br /></p><p>The nearest major airport is Nadi Intl. Airport (NAN) - 98.4 km / 61.1 mi. </p>,"<p>HeadLine : Near Beqa Lagoon</p><p>Location : With a stay at Beqa Lagoon Resort in Beqa Island, you ll be on the beach and minutes from Beqa Lagoon.  This 4-star resort is within the region of Paradise Beach and Yanutha Beach.</p><p>Rooms : Make yourself at home in one of the 25 air-conditioned guestrooms. Wireless Internet access (surcharge) is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite at the resort s beachfront restaurant, which features a pool view. Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer via boat to the property. Guests must contact the property at least 24 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the ferry terminal and airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - 7:00 PM. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Ground transfers to Pacific Harbour are available on request. Pacific Harbour is approximately 2.5 hours by ground transfer from Nadi Airport and 1.5 hours from Suva Airport. Guests should contact the resort directly to confirm flight details and request assistance with ground transportation (surcharge) if necessary. This property is accessible only by boat (surcharge). Return boat transfers are available for USD 89 per adult and USD 48 per child (ages 2-11 years old). The boat departs daily from Pearl Resort Marina, Pacific Harbor at 10 AM and 4:30 PM, and the return boat departs Beqa daily at 8:30 AM. Crossing is approximately 45 minutes. This property is accessible only by boat (surcharge). Return boat transfers are available for USD 89 per adult and USD 48 per child (ages 2-11 years old). The boat departs daily from Pearl Resort Marina, Pacific Harbor at 10 AM and 4:30 PM, and the return boat departs Beqa daily at 8:30 AM. Crossing is approximately 45 minutes.</p>",67-9 330 4028,Couples/private dining Wheelchair accessible  no Luggage storage Gift shops or newsstand Dry cleaning/laundry service Shopping on site Proposal/romance packages available Babysitting or childcare (surcharge) Lockers available Pool umbrellas Water sports equipment Conference space size (meters) - 100 Swimming nearby WiFi (surcharge) Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Tours/ticket assistance Scuba diving on site Free ferry terminal shuttle Airport transportation (surcharge) Water dispenser Coffee/tea in common areas Laundry facilities Ecotours on site Rafting nearby Snorkeling on site Uncovered parking Beach umbrellas Spa treatment room(s) Hiking/biking trails on site Well-lit path to entrance Garden Picnic area Stair-free path to entrance Full-service spa Wedding services Volleyball on site Beach towels Supervised childcare/activities (surcharge) Fishing on site Boat tours on site Boat and paddles on site Boat on site Private picnics Grocery/convenience store Business center Front desk (limited hours) Library Playground on site Spa services on site Safe-deposit box at front desk Snack bar/deli Surfing/bodyboarding nearby Free self parking Conference space Kayaking on site Beach sun loungers Terrace Pool sun loungers Conference space size (feet) - 1076 Concierge services,-18.386864|178.100621,+6793304042,na,http://www.beqalagoonresort.com/
FJ,Fiji,114222,Castaway Island,1154490,Castaway Island Fiji,FourStar,Castaway Island Mamanuca Islands Nadi AirportFiji Islands ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Denarau Beach - 27.8 km / 17.3 mi <br /> Natadola Beach - 36.7 km / 22.8 mi <br /> Tokoriki Island Beach - 46.3 km / 28.8 mi <br /> </p><p>The preferred airport for Castaway Island Fiji is Nadi Intl. Airport (NAN) - 29.8 km / 18.5 mi </p>,"<p>HeadLine : Near Castaway Island Day Trip</p><p>Location : With a stay at Castaway Island Fiji in Castaway Island, you ll be on the waterfront, and 17.3 mi (27.8 km) from Denarau Beach and 22.8 mi (36.7 km) from Natadola Beach.  This 4-star resort is 28.8 mi (46.3 km) from Tokoriki Island Beach.</p><p>Rooms : Make yourself at home in one of the 65 air-conditioned rooms featuring refrigerators. Rooms have private patios. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at Waters Edge, one of the resort s many dining establishments, which include 4 restaurants and a coffee shop/cafe. When you are in need of a refreshing drink, visit the beach bar or one of 4 bars/lounges, or 2 poolside bars. Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the ferry terminal (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 12 and up, and test must have been administered no more than 72 hours prior to check-in. COVID-19 vaccination record requirement applies to all guests aged 12 and up; guests must have received complete vaccination at least 30 days prior to check-in.</p>",679-666-5753,Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Shopping on site Newspapers in lobby (surcharge) Proposal/romance packages available Babysitting or childcare (surcharge) Outdoor furniture Pool umbrellas Water sports equipment Free WiFi Number of bars/lounges - 4 Sailboat on site Designated smoking areas Number of spa tubs - 1 Number of poolside bars - 2 Number of outdoor pools - 2 Number of beach bars - 1 Number of swim-up bars - 1 Tours/ticket assistance Sailing on site Ferry terminal shuttle (surcharge) Scuba diving on site On private beach Surf lessons - nearby Outdoor tennis courts - 1 Personal motor watercraft nearby Breakfast available (surcharge) Evening entertainment Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Ecotours on site Children's club (free) Snorkeling on site Supervised childcare/activities (free) Canoe on site Games Books Beach umbrellas Table tennis Spa treatment room(s) Helicopter/airplane tours on site Hiking/biking trails on site Garden Picnic area Full-service spa Wedding services Tennis lessons on site Volleyball on site Beach towels Water skiing on site Fishing on site Windsurfing on site Boat tours on site Boat and paddles on site Boat on site Private picnics Couples/private dining Luggage storage Grocery/convenience store Porter/bellhop Pool toys 24-hour front desk Library Playground on site Safe-deposit box at front desk Rowing or canoeing on site Children's pool Surfing/bodyboarding nearby Kayaking on site Tennis on site Motor boating on site Computer station Beach sun loungers Terrace Pool sun loungers Parasailing on site Concierge services Fence around pool,-17.733495|177.127249,679-666-1233,000,http://castawayfiji.com/
FJ,Fiji,115284,Coral Coast,1000565,Rendezvous Surf Camp Fiji,TwoStar,Uciwai Road NadiViti LevuWestern Division ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Musket Cove Marina - 1.1 km / 0.7 mi <br /> Plantation Island Church - 1.1 km / 0.7 mi <br /> Momi WW2 Gun Site - 5.6 km / 3.5 mi <br /> Momi Bay - 6.3 km / 3.9 mi <br /> Sri Siva Subramaniya Temple - 20.1 km / 12.5 mi <br /> Sri Siva Subramaniya Swami Temple - 23.5 km / 14.6 mi <br /> Wailoaloa Beach - 24.8 km / 15.4 mi <br /> Denarau Beach - 26.7 km / 16.6 mi <br /> Port Denarau Marina - 26.9 km / 16.7 mi <br /> Sheraton Denarau Golf and Racquet Club - 27 km / 16.8 mi <br /> Port Denarau - 27.2 km / 16.9 mi <br /> Mala Mala Island - 27.3 km / 17 mi <br /> Denarau Golf and Racquet Club - 27.4 km / 17 mi <br /> Namaka Market - 27.9 km / 17.4 mi <br /> Navala Village - 31.6 km / 19.6 mi <br /> </p><p>The nearest airports are:<br />Nadi Intl. Airport (NAN) - 28.7 km / 17.8 mi<br /> Malololailai (PTF) - 1.1 km / 0.7 mi<br /> </p><p>The preferred airport for Rendezvous Surf Camp Fiji is Nadi Intl. Airport (NAN). </p>,"<p>HeadLine : In Momi</p><p>Location : When you stay at Rendezvous Surf Camp Fiji in Momi, you ll be by the sea, within a 5-minute drive of Musket Cove Marina and Plantation Island Church.  This hostel is 16.7 mi (26.9 km) from Port Denarau Marina and 16.9 mi (27.2 km) from Port Denarau.</p><p>Rooms : Make yourself at home in one of the 16 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Rendezvous Surf Camp Fiji, or stop in at the snack bar/deli. Unwind at the end of the day with a drink at the bar/lounge or the beach bar. Cooked-to-order breakfasts are available daily from 5:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 5 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",67-9-7735630,Barbecue grill(s) Area shuttle (surcharge) Terrace Number of outdoor pools - 1 Breakfast available (surcharge) Number of bars/lounges - 1 Volleyball on site Number of beach bars - 1 Snack bar/deli Designated smoking areas 24-hour front desk Laundry facilities Billiards or pool table Accessible bathroom Free self parking Free WiFi Wheelchair accessible parking Arcade/game room Airport transportation (surcharge),-17.858016|177.285188,679-7735630,679,http://www.surfdivefiji.com/
FJ,Fiji,115284,Coral Coast,1009022,Crusoe's Retreat,ThreeStar,Off Queens Highway Korolevu Viti Levu Off Queens HighwayKorolevuCoral Coast ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Rivers Fiji - 6.6 km / 4.1 mi <br /> Vunanui Bay - 9.7 km / 6 mi <br /> Namatakula Beach - 11.9 km / 7.4 mi <br /> Waidroka Bay Dock - 16.3 km / 10.1 mi <br /> The Pearl Championship Golf & Country Club - 35.2 km / 21.9 mi <br /> Aqua-Trek Shark Encounter - 36.9 km / 22.9 mi <br /> Kula Eco Park - 43.2 km / 26.8 mi <br /> Lawaqa Park - 51.4 km / 31.9 mi <br /> </p><p>The preferred airport for Crusoe s Retreat is Nadi Intl. Airport (NAN) - 119.8 km / 74.5 mi </p>,"<p>HeadLine : By the ocean</p><p>Location : Located in Namaqumaqua, Crusoe s Retreat is by the ocean, within a 15-minute drive of Rivers Fiji and Vunanui Bay.  This beach hotel is 7.4 mi (11.9 km) from Namatakula Beach and 10.1 mi (16.3 km) from Waidroka Bay Dock.</p><p>Rooms : Make yourself at home in one of the 28 guestrooms featuring refrigerators. Rooms have private balconies or patios. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite at Crusoes Restaurant, one of the hotel s 2 restaurants. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary continental breakfast is served daily from 7 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 9:00 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 8:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",679-6-520666,Gift shops or newsstand Beach volleyball on site Direct access to private beach Pool umbrellas Meeting rooms Scuba diving nearby Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Number of poolside bars - 1 Number of outdoor pools - 1 Garden Picnic area Wedding services Tours/ticket assistance Volleyball on site Beach towels Boat tours nearby Fishing on site Free continental breakfast Area shuttle (surcharge) Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Private beach nearby Free breakfast Front desk (limited hours) Daily Golfing nearby Spa services on site Safe-deposit box at front desk Smoke-free property Ecotours nearby Hiking/biking trails nearby Laundry facilities Rafting nearby Free self parking Snorkeling on site Kayaking on site Computer station Beach sun loungers Terrace Pool sun loungers Concierge services,-18.251664|177.830299,679-7-760185,,http://www.crusoesretreat.com
